rank,trip,country,region,window,composite,tier,family_ok,boys_composite,boys_rank,boys_ok,strike_composite,strike_rank,strike_ok,pool,cost_band,min_days,booking,water_f_lo,water_f_hi,wetsuit,rank_lo,rank_hi,consistency,crowd,quality,beginner,advanced,safety,turnkey,lodging,travel,strikeability,travel_note,note
11,North Malé surf resort (Pasta Point/Sultans),Maldives,Indian Ocean,Apr–Oct,82.7,S,no,84.5,9,yes,68.3,61,no,no,$$$,8,~30-surfer allocation; 9–12mo; 7-night min,84,86,trunks,10,15,9,8.5,9,4,8.5,9.5,10,9.5,3,2.5,BOS→MLE ~20h + speedboat,"Resort-exclusive lineups (Pasta Point caps surfer numbers by design), warm mechanical walls, dhoni boat shuttles, resort pools and lagoons for the family. The model answer to this brief except distance."
12,Alaïa Bay (Sion),Switzerland,Pool,Year-round,82.6,S,yes,80.2,25,no,74.5,24,no,yes,$$,2,Sessions online,52,75,seasonal: 2mm (summer) to 5/4 (winter),11,14,10,8,6.5,9,6.5,9.5,9,6,6,7.5,BOS→GVA + 1.5h train,"Alpine pool an hour from Geneva — surf in the morning, mountains in the afternoon. No on-site lodging."
13,O2 SurfTown (Munich),Germany,Pool,Year-round,82.6,S,yes,80.2,26,no,74.5,25,no,yes,$$,2,Sessions online,52,75,seasonal: 2mm (summer) to 5/4 (winter),12,15,10,8,6.5,9,6.5,9.5,9,6,6,7.5,BOS→MUC ~8h nonstop,"Europe's newest large pool, one nonstop from Boston. City hotels, no resort."
14,Kandooma Surf Wing (South Malé),Maldives,Indian Ocean,Apr–Oct,82.4,S,yes,82.9,14,yes,66.7,78,no,no,$$$,7,Perfect Wave exclusive rights; guest-capped wave; 6–9mo,84,86,trunks,12,15,9,8,8.5,6,8.5,9.5,9.5,9,3,2.5,BOS→MLE ~20h + 40min speedboat,"The family-priced Pasta Point analog on an atoll the index didn't cover: exclusive rights to all surf at the resort, Kandooma Right guest-capped, kids-stay-free — a genuine right-hander counterpart to North Malé's lefts at a lower price band."
15,Malibu Popoyo,Nicaragua,Central America,Apr–Sep,82.2,S,yes,82.4,15,yes,71.8,35,no,no,$$$$,6,12-room design all-inclusive; ~6mo,74,82,trunks (spring top in upwelling spells),11,16,9.5,6.5,8.5,7.5,9,6.5,9.5,9,6,5,One-stop to MGA + 2.5h drive,"The Amaru archetype on the SW corridor: 12 design-grade rooms, all-inclusive coaching for every level, and unlimited 4x4 guiding to 10+ breaks on a row whose $ lodges assume you sort yourself out."
16,Nihi Sumba (Occy's Left),Indonesia,Indo-Pacific,May–Oct,81.3,S,no,83.6,13,yes,65.2,94,no,no,$$$$,10,Books 6–12mo; wave capped at ~10 surfers/day; from ~$1.5k/night,79,83,trunks,15,18,8.5,10,9,5.5,8.5,7,9.5,10,1.5,1.5,BOS→DPS→Tambolaka + 1.5h drive ~30h,"The brief's platonic ideal, priced accordingly: a formal daily cap on a world-class left, resort-exclusive access, full surf program, and an infinity pool directly over the wave. Beginner terrain is coaching-dependent — sits just under the family gate."
17,Punta Conejo Resort (Salina Cruz),Mexico,Mexico,Apr–Sep,81.1,S,no,85.4,8,yes,79.5,4,no,no,$$$,6,Oceanfront all-inclusive on the points; 3–6mo,82,86,trunks,16,19,9,8.5,9.5,4.5,10,7,9,8,5,6.5,Two-leg to HUX/SCX + resort pickup,"The only oceanfront all-inclusive ON the Salina Cruz points (Punta Conejo a 5-min walk), private 4x4 guides, full board — the corridor's camp row upgraded to the Amaru pattern. Risk flag: the Salina Cruz port-expansion breakwater is a documented threat to Punta Conejo itself (wave functioning per 2026 reviews; the guide model covers the whole corridor if it degrades)."
18,Coral Coast (Matanivusi / Sigatoka),Fiji,Indo-Pacific,Apr–Oct,80.4,S,yes,81.1,21,yes,68.0,64,no,no,$$$,8,Small eco-resorts 6–9mo,76,82,trunks (spring top Jul–Aug),18,21,8.5,8.5,8,6.5,8.5,9,9,8.5,3,3.5,BOS→LAX→NAN + 1.5h drive,Eco surf resorts boating you to soft-top-to-serious reef passes with nobody around; gentler and cheaper than the Namotu circus while still Fiji-consistent.
19,URBNSURF (Melbourne),Australia,Pool,Year-round,80.2,S,yes,77.8,41,no,60.5,125,no,yes,$$$,3,Sessions online,54,71,3/2 (4/3 winter),17,26,10,8,6.5,9,6.5,9.5,9,6,2,3,BOS→MEL ~24h,The southern hemisphere's flagship pool — included for fleet completeness; the flight alone disqualifies it as a pool trip from New England.
20,Kalon Surf (Dominicalito),Costa Rica,Central America,Apr–Sep,80.2,S,yes,77.6,43,yes,67.0,75,no,no,$$$$,7,7-night fixed weeks; 3–6mo,82,86,trunks,16,26,9,5.5,7.5,8.5,7.5,7.5,9.5,9,7,4.5,BOS→SJO + included SUV transfer,"A Puro-Surf-grade luxury academy above Dominicalito: 3:1 coach ratio, daily video analysis, chef dining, door-to-door SJO transfer — and supervised coaching directly fixes the rip problem that caps the coastline row's beginner score."
21,Heaven on the Planet (Ekas),Indonesia,Indo-Pacific,May–Sep,80.2,S,yes,80.4,24,yes,65.1,95,no,no,$$$,8,Clifftop villa resort; ~6mo,78,82,trunks,18,23,9,8.5,8,7.5,8,7.5,9,8.5,2.5,3,BOS→LOP ~26h + 1.5h drive/boat,"The empty far side of the South Lombok row: 17 clifftop hectares over Inside/Outside Ekas with instructors, infinity pool, and babysitting — the Gerupuk conveyor's crowd tax mostly disappears across the bay."
22,Noah Surf House (Santa Cruz),Portugal,Europe/Atlantic,Sep–Oct,79.9,A,yes,77.0,45,yes,75.6,19,yes,no,$$$,6,8 rooms + 13 bungalows; 7-night packages,63,67,3/2,19,28,8,6.5,7,8,7,9.5,9,9,8,7.5,Nonstop BOS→LIS + 45min,"The Silver Coast's resort-grade family property on the quiet stretch between the Ericeira and Peniche rows: on-sand bungalows, accredited on-site school, everything included (yoga, skate park, bikes, heated pool) — where both sibling rows assume camps and town lodging."
23,Puro Surf (El Palmarcito),El Salvador,Central America,Mar–Oct,79.8,A,yes,78.9,33,yes,70.8,44,no,no,$$$,5,Hotel + academy; 3–6mo,82,86,trunks,21,27,9,6.5,7.5,7.5,8,7.5,9,8.5,7,5.5,One-stop to SAL + 40min drive,"The academy model at its peak: a performance surf school (video analysis, structured coaching, quiver included) wrapped in a boutique hotel whose pool overlooks the El Palmarcito point, with Sunzal-to-Punta-Roca in guided range. The most professionalized coaching product in the hemisphere — a property-level entrant the coastline row couldn't see, added v11."
24,K59 Surf Resort,El Salvador,Central America,Mar–Oct,79.7,A,yes,81.4,19,yes,76.0,15,no,no,$,5,Gated point community; surf house from ~$99/night all-in,82,86,trunks,21,27,9,8,8,6,8.5,7.5,8.5,7.5,7,6.5,One-stop to SAL + 1h drive,The Rancho Santana pattern at $ prices: a quality cobblestone right inside a gated community with limited public access — one of the country's least-crowded good waves — with a beachfront surf house and personal chef.
25,Macaronis Resort (North Pagai),Indonesia,Indo-Pacific,Apr–Oct,79.6,A,no,82.4,16,yes,62.7,115,no,no,$$$$,10,Resort 9–12mo; kids-free Decembers,82,85,trunks,21,28,9.5,7.5,9.5,5.5,9.5,6.5,9.5,8.5,1,1.5,BOS→PDG ~28h + 4h boat,"A different Mentawai zone from the Kandui/HT's row — southern Pagais — with the wave (Macaronis, the world's funnest left) breaking in front of the resort: no daily-boat dependency, pool, kids-under-18-free Decembers, women's clinics. The v4 near-duplicate verdict was wrong; this is the Rancho Santana pattern at Mentawai scale."
26,Amaru (Aposentillo / The Boom),Nicaragua,Central America,Apr–Sep,79.5,A,yes,80.8,23,yes,70.0,50,no,no,$$$,6,All-inclusive resort (13 rooms); retreat calendar; 3–6mo,78,84,trunks,22,28,9.5,8,7.5,6.5,8.5,6.5,9,8,5,5,One-stop to MGA + 3h drive,"The property-level product on the NW corridor the Miramar camps row generalizes: a 13-room all-inclusive surf-and-wellness resort five minutes' walk from The Boom's A-frames, with coaching, guided program, and gentle inside waves for the improvers. Same offshore machine, same emptiness, resort wrapper. Added v13 — the third property the coastline rows hid (after Puro Surf and Rancho Santana), this one surfaced by the owner, not the audits."
27,Rancho Santana,Nicaragua,Central America,Apr–Sep,79.2,A,yes,79.2,29,yes,69.2,55,no,no,$$$,6,Resort easy 3–6mo; on-site Surf Club,74,82,trunks (spring top in upwelling spells),26,30,9.5,6.5,7.5,7,8.5,7,8.5,9,6,5,One-stop to MGA + 2.5h drive,"The turnkey answer on the SW Nicaragua corridor the index already loves: five private-access beaches, on-site Surf Club (quiver, coaches, daily program), pools and ranch — beginner sand at Los Perros, Panga Drops/Colorado in guided range."
28,Mentawai boat charter,Indonesia,Indo-Pacific,Apr–Oct,79.2,A,no,85.5,7,yes,64.0,105,no,no,$$$$,11,Full-boat charters ex-Padang 9–12mo out,82,85,trunks,19,33,10,9,10,3,10,5.5,9.5,7,1.5,1,BOS→PDG ~28h + liveaboard,"The boys-trip archetype the family lens excluded: a liveaboard chasing the best wave in the archipelago every single day. Wave count no land base can match; cabins, not villas; malaria belt and half-day medevac."
29,Namotu / Tavarua — off-season,Fiji,Indo-Pacific,Nov–Mar,79.1,A,yes,79.2,30,yes,68.3,62,no,no,$$$$,8,Easier availability than peak; cyclone-season risk,82,84,trunks,22,34,7,8.5,8,6,8.5,9,10,9.5,3,3.5,BOS→LAX→NAN ~19h + boat,"The #1 trip's quiet half: cyclone-season swell roulette trims consistency, but the boats, kids' programs, and Swimming Pools all still run, availability opens up, and prices drop a band. Fills the thin Nov–Mar calendar."
30,Playa Guiones (Nosara) — dry season,Costa Rica,Central America,Feb–Apr,78.9,A,yes,74.3,65,no,68.6,60,no,no,$$,6,Easy 3–6mo; Surf Simply ~1yr out,82,86,trunks,24,33,9,6,6.5,10,5.5,8,9,8,7.5,6.5,Nonstop BOS→LIR ~5.5h + 2.5h drive,"Arguably the most consistent learner beach break in the Americas (~330 surfable days/yr), warm water, huge surf-school culture. Crowded because everyone knows it. Overhead outside peaks for advanced; Ollie's Point/Witch's Rock boat day-trips."
31,Salina Cruz guided camps (Oaxaca),Mexico,Mexico,Apr–Sep,78.6,A,no,83.7,12,yes,78.3,7,no,no,$$,6,Camps 3–6mo; bring boards,82,86,trunks,29,36,9,8.5,9.5,4.5,10,7,8,6.5,5,6.5,Two-leg to HUX/SCX + guide pickup,"The 4x4-guide model at its best: sand-bottom right points (Punta Conejo etc.) picked by wind/tide each morning, lineups effectively gated by access. World-class waves; thin beginner options. Risk flag (2026-08): the port-expansion breakwater is a documented threat to Punta Conejo — wave functioning per 2026 reviews; review this corridor if construction advances."
32,Mizata Resort (western La Libertad),El Salvador,Central America,Mar–Oct,78.5,A,yes,79.2,31,yes,71.8,36,no,no,$$,5,Small resort; 3–6mo,82,86,trunks,29,35,9,7.5,7.5,6.5,8,7.5,8,8,7.5,5.5,One-stop to SAL + 1.5h drive,"A near-private cove-and-point 45 min west of the El Tunco crowds, with the pool literally overlooking the break, on-site boards and coaching, and the same 9-consistency S-swell window as the rest of the coast."
33,Ritz-Carlton Turtle Bay (Oahu),USA (Hawaii),Pacific/USA,Nov–Mar,78.4,A,yes,75.8,50,yes,70.3,46,no,no,$$$$,6,Resort easy; Jamie O'Brien Surf Experience on-site,75,77,trunks,29,35,9,5.5,7.5,7.5,7,9.5,8.5,9.5,5,6.5,"BOS→HNL ~11-12h + 1h, no passport","Hawaii's only surf school with two commercially private breaks, an exclusive on-site pro program (private, keiki, adaptive), resort-grade everything — the family-viable North Shore trip the DIY winter-base row can't be. Its waves honestly aren't the Seven Mile Miracle; the score says so."
34,Nemberala (Rote),Indonesia,Indo-Pacific,May–Sep,78.0,A,yes,79.3,28,yes,64.2,100,no,no,$$,10,Lodges ~6mo,78,82,trunks,32,40,9,8,8.5,7,8.5,7.5,8.5,7.5,1.5,3,BOS→DPS + hop + drive ~30h,T-Land's long forgiving left wall — an intermediate's dream wave — with sleepy-village emptiness and a few good family lodges.
35,Wave Park (Siheung),South Korea,Pool,Year-round,77.8,A,yes,74.6,63,no,57.9,135,no,yes,$$,3,Sessions online; busy weekends,50,78,seasonal: trunks (summer) to 5/4 (winter),32,42,10,7,6,9,6,9.5,8.5,6.5,2.5,3,BOS→ICN ~15h + 1h,"The world's largest wave pool by area, outside Seoul. Fleet completeness row."
36,Santa Bárbara Eco-Beach Resort,Portugal (Azores),Europe/Atlantic,Sep–Oct,77.8,A,yes,76.4,46,yes,79.7,3,yes,no,$$$,5,Villa resort + on-site school; 3–6mo,71,74,springsuit or 2mm,30,44,7,7.5,7,7.5,7.5,9.5,8,8.5,9,8.5,Nonstop BOS→PDL 4.5h + 30min,Surfer-founded villa resort directly on Santa Bárbara beach with its own school and beach club — it deletes the Azores row's DIY tax on the shortest real surf flight from Boston. Arguably the best short-haul family property in the index.
37,Popoyo,Nicaragua,Central America,Apr–Sep,77.7,A,yes,79.2,32,yes,73.1,30,no,no,$,6,Lodges 3–6mo,74,82,trunks (spring top in upwelling spells),34,39,9.5,6,8.5,7,9,6.5,8,7.5,6,6.5,One-stop to MGA + 2.5h drive,"Same offshore machine, more variety: Popoyo main peak, Outer Reef for chargers, Beginner's Bay inside. Lodges with pools facing the reef."
38,Playa Guiones (Nosara) — green season,Costa Rica,Central America,Sep–Oct,77.5,A,yes,73.5,71,no,67.8,66,no,no,$$,6,Easy; green-season discounts,82,86,trunks,35,46,9.5,6,7,8.5,4.5,8,8.5,8,7.5,6.5,Nonstop BOS→LIR ~5.5h + 2.5h drive,"Peak S-swell, thinner crowds, afternoon rain. Bigger surf trims the beginner score slightly; mornings still user-friendly."
39,Chicama + Pacasmayo,Peru,South America,Apr–Sep,77.5,A,yes,79.9,27,yes,76.8,13,yes,no,$,7,Easy; hotel packages,60,66,3/2 (4/3 Jul–Aug),36,44,9,8,9,7,8.5,6.5,7.5,7,4.5,7.5,BOS→LIM + hop to Trujillo,"The longest left on earth: catches any SW swell, and a 2-minute mechanical wall disperses whatever crowd exists. Hotel pools literally overlook the point. Cold-ish water (3/2), grey skies, basic towns."
40,Gerupuk + Ekas bays (South Lombok),Indonesia,Indo-Pacific,May–Sep,77.5,A,yes,75.7,52,yes,61.7,123,no,no,$$,9,Camps 3–6mo,78,82,trunks,35,43,9,6.5,7.5,9,7.5,7.5,9,7.5,2.5,3.5,BOS→LOP via DPS/SIN ~26h,Boat-to-the-break as daily routine: sheltered bay peaks where every level gets waves every day of dry season. One of the best places on earth to take a mixed-ability crew.
41,El Zonte + El Tunco (La Libertad),El Salvador,Central America,Mar–Oct,77.2,A,yes,77.8,42,yes,75.4,20,yes,no,$,5,Easy; near walk-in,82,86,trunks,37,46,9,5.5,8.5,7,8.5,7.5,8,7.5,7,7.5,One-stop to SAL + 45min drive,"Right-point machine (El Zonte, Sunzal for learners, Punta Roca for experts) 45 min from the airport. Security transformed since 2022; surf-city investment everywhere."
42,Famara (Lanzarote),Spain (Canary Is.),Europe/Atlantic,Oct–Mar,77.2,A,yes,75.5,54,yes,72.2,33,yes,no,$,6,Easy; school capital,66,70,3/2 (spring by Mar),38,47,8.5,5.5,7.5,8.5,8,9,8,7.5,6,7,BOS→Madrid/LIS + hop,Famara's 5km learner beach under the cliffs plus serious reefs (El Quemao) for experts. Reliable winter machine with European ease.
43,Salani / Aganoa (Upolu & Savai'i),Samoa,Indo-Pacific,Apr–Oct,77.2,A,no,80.9,22,yes,65.7,88,no,no,$$$,9,Small lodges; min-stays; 6–9mo,78,82,trunks,34,48,8.5,9,8.5,3.5,9,8.5,9,7.5,2,2.5,BOS→LAX→HNL/NAN→APW ~24h,"Guided-only reef pass culture (resorts hold traditional village access), empty by design. Waves are shallow and punchy — thin true-beginner terrain."
44,Mentawai land resort (Kandui/HT's zone),Indonesia,Indo-Pacific,Apr–Oct,76.8,A,no,82.4,17,yes,63.0,111,no,no,$$$$,10,Resorts 9–12mo; fixed transfers; some exclude under-12s,82,85,trunks,36,52,10,7.5,10,3,10,5.5,8.5,8.5,1.5,1.5,BOS→PDG ~28h + fast ferry,"The best wave zone on the planet, boat-guided daily, resorts increasingly family-capable. But it's expert-centric, malaria-belt remote, and the journey is brutal with kids."
45,Hanalei Bay (Kauai),USA (Hawaii),Pacific/USA,Nov–Mar,76.8,A,yes,76.0,49,yes,70.5,45,no,no,$$$,6,Easy; winter lodging pricey,75,78,trunks,42,50,8.5,4.5,8.5,8,9,9.5,7.5,8.5,4.5,6,"BOS→LIH ~13h, no passport","One perfect crescent: kiddie rollers inside, long point walls outside, US ease, breathtaking setting. Winter surf demands respect on big days."
46,Hotel Alaia (Punta de Lobos),Chile,South America,Nov–Mar,76.7,A,yes,77.3,44,yes,71.3,40,no,no,$$$,7,12-room boutique; guest-exclusive surf school,55,60,4/3 + booties (hood common),45,48,8.5,6,8.5,7,9,8,8,8.5,4,6,BOS→SCL + 3.5h drive,"Twelve rooms in the dunes at Punta de Lobos with a guest-exclusive school, spa, and hot tubs — the turnkey answer on a row scored as hardy-DIY. The rubber requirement is unchanged; the thinking is what disappears."
47,Peniche + Baleal,Portugal,Europe/Atlantic,Sep–Oct,76.6,A,yes,75.3,57,yes,75.4,21,yes,no,$,6,Camps plentiful,63,67,3/2,43,54,8.5,4,8,8,8.5,9.5,7.5,7.5,8,8,Nonstop BOS→LIS 6.5h + 1h drive,"360° peninsula — some bank is always offshore, from Baleal's learner lagoons to Supertubos. Surf-school capital of Europe, with the lineups that implies."
48,Miramar / Aserradores (The Boom),Nicaragua,Central America,Apr–Sep,76.5,A,yes,78.9,34,yes,71.2,41,no,no,$$,6,All-inclusive camps 3–6mo,78,84,trunks,45,53,9.5,8,7.5,6,8.5,6.5,8,6.5,5,6,One-stop to MGA + 3h drive,"Same offshore machine as Popoyo, far emptier: The Boom's world-class A-frame for the chargers, mellower inside banks for improvers, and camps that run boards, boats, and the daily call."
49,Simeulue Island (Aceh),Indonesia,Indo-Pacific,Mar–Oct,76.2,A,yes,78.2,38,yes,62.8,113,no,no,$$,10,Small resorts ~6mo,83,86,trunks,44,55,8.5,9,8,7,8.5,7.5,8,6.5,1.5,2.5,BOS→Medan + hop ~30h,"The quiet Mentawais: mellower reefs (The Peak, Dylan's), a couple of family-run resorts, single-digit lineups. Less wave ceiling, far more forgiving."
50,Barbados (Freights + Soup Bowl),Barbados,Caribbean,Nov–Mar,76.1,A,yes,75.8,51,yes,77.6,10,yes,no,$$$,5,Easy; winter hotels early,79,83,trunks,46,54,7.5,6,8,8,8.5,8.5,7,8,8.5,8,Nonstop BOS/JFK→BGI ~4.5-5h,"Trade-swell island that almost always has something: Freights' gentle left for learners, world-class Soup Bowl for the experts, safe and family-polished everywhere."
51,Fuerteventura,Spain (Canary Is.),Europe/Atlantic,Nov–Mar,76.1,A,yes,75.5,55,yes,72.6,31,yes,no,$$,6,Easy; many camps,66,70,3/2 (spring by Mar),46,55,8.5,5,8,7.5,8.5,9,7.5,8,6,7,BOS→Madrid/LIS + 2.5h hop,"The 'European Hawaii': winter N-swells, volcanic reefs on the North Track, big sandy Corralejo bay for learners, warm in January."
52,Paradis Plage (Imi Ouaddar),Morocco,Africa,Oct–Mar,76.1,A,yes,73.5,72,no,68.9,57,no,no,$$,6,Beachfront resort; closed 12 Nov–17 Dec 2026 for renovation,62,68,3/2,46,54,8,6,6.5,8.5,7.5,7.5,9,9,5.5,6.5,BOS→LIS/CDG + AGA hop + 30min,"The Agadir corridor's only true beachfront family resort: own gentle house break with on-site school, pools, spa, 9km north of the Taghazout crush. Quality trades down — the famous points are a guided drive away."
53,Nusa Island Retreat (Kavieng),Papua New Guinea,Indo-Pacific,Nov–Apr,76.0,A,no,78.8,35,yes,61.3,124,no,no,$$$$,10,Tiny capacity; 9–12mo; hard itinerary,84,86,trunks,43,58,8,10,8,5.5,8.5,6.5,9,7.5,1,1.5,BOS→BNE/POM→KVG ~35h,The Surf Management Plan caps total surfers per break by law — the only formally rationed lineups on earth. Monsoon-season reefs by boat. Getting there is the hardest itinerary on this list.
54,Taghazout + Tamraght,Morocco,Africa,Oct–Mar,75.5,A,yes,75.2,58,yes,71.9,34,yes,no,$,6,Camps 1–3mo,62,68,3/2 (4/3 midwinter for some),51,57,8.5,4.5,8.5,7,8.5,7.5,9,7.5,5.5,7,BOS→LIS/CDG + hop to AGA,"Right-point conveyor (Anchor Point, Killers) with a mature surf-camp/guide industry and learner beaches between points. Winter crowds are real now."
55,Banyak Islands (Treasure Island),Indonesia,Indo-Pacific,Apr–Oct,75.4,A,yes,78.7,36,yes,61.8,120,no,no,$$$,10,Small resorts 6–9mo,83,86,trunks,49,60,8.5,9.5,8.5,6,8.5,6,8.5,6.5,1,2,BOS→Medan + hop + boat ~32h,"The budget Telos: tiny island resorts, boat-served zone, near-empty lineups, and Gunturs — a long forgiving right that's one of Sumatra's best learner-to-intermediate waves — on the doorstep."
56,Playa Colorado / Hacienda Iguana,Nicaragua,Central America,Apr–Sep,75.0,A,yes,78.0,40,yes,69.7,52,no,no,$$,7,VRBO via managers 6–12mo; self-assemble guide/panga,74,82,trunks (spring top in upwelling spells),52,63,9.5,7,8.5,6.5,9,6.5,5,9,6,5,One-stop to MGA + 2.5h drive,"Lake-effect offshores ~300 days/yr meet relentless SW swell: barreling beach break at your feet, gated community keeps lineups half-private. Panga trips to Lance's Left/Manzanillo. Political situation is calm in surf zones but score docked."
57,Tamarindo + Playa Grande — green season,Costa Rica,Central America,May–Aug,75.0,A,yes,71.3,90,no,67.6,68,no,no,$$,5,Easy; green-season rates,82,86,trunks,54,61,9,4.5,6.5,8.5,6,7.5,8.5,8,8,7,Nonstop BOS→LIR ~5.5h + 1h drive,"The Nosara-split logic applied to its neighbor: peak S-swell, thinner crowds, cheaper rooms, school-summer timing. Mornings stay learner-friendly; afternoon rain."
58,Whales & Waves (Kertasari),Indonesia,Indo-Pacific,May–Sep,75.0,A,yes,76.1,47,yes,62.4,117,no,no,$$,8,Only lodge in the zone; boat program; ~6mo,77,81,trunks,51,65,8,9.5,7.5,7,7.5,6.5,8.5,7.5,1.5,3,BOS→LOP/SWQ + ferry ~30h,"NW Sumbawa's other coastline: the only place to stay in the zone, boat program to near-empty waves, mellow long lefts for improvers — the crowd score the SW-corner row can't offer."
59,Punta Mita — summer,Mexico,Mexico,Apr–Oct,74.7,B,yes,70.6,100,no,67.2,73,no,no,$$$,5,Resorts easy; on-site surf clubs,80,85,trunks,56,63,8,4.5,7,8.5,6,7.5,9,9,7.5,6.5,One-stop to PVR + 45min,"The listed winter row's consistency 7 was the small-season number: summer S-swell is Mita's real season, with the same panga-and-resort turnkey."
60,Playa Venao,Panama,Central America,Apr–Oct,74.3,B,yes,71.2,91,no,66.6,79,no,no,$$,6,Easy,80,84,trunks,59,63,8.5,6.5,6.5,9,5.5,7.5,8,7.5,6,6.5,BOS→PTY ~5.5h + 5h drive or hop flight,Horseshoe bay that grooms S-swell into all-level peaks; genuinely uncrowded midweek. Sleepy but growing scene.
