rank,trip,country,region,window,composite,tier,rank_lo,rank_hi,consistency,crowd,quality,beginner,advanced,safety,guide,lodging,travel,travel_note,note
54,Playa Maderas (San Juan del Sur),Nicaragua,Central America,Apr–Sep,69.5,C,50,57,9,4.5,6.5,8.5,6,6.5,7.5,6.5,6,One-stop to MGA + 2.5h drive,Friendly peaks and a proper learner scene; shuttle-truck culture from SJDS. Busier than the private-community options.
55,Weligama–Ahangama south coast,Sri Lanka,Indian Ocean,Nov–Mar,69.5,C,49,58,8.5,4,6.5,9.5,6.5,7.5,7.5,8,3,BOS→CMB ~20h + 2.5h drive,"Warm, cheap, endlessly mellow — a dozen learner-to-intermediate reefs and beaches in 20km, great food and family villas. Blew up post-2020; lineups show it."
56,Siargao (Cloud 9 + boat breaks),Philippines,Indo-Pacific,Aug–Nov,69.5,C,50,57,7.5,4.5,8.5,7.5,8.5,7,8.5,7.5,2,BOS→MNL/CEB + hop ~26h,"Typhoon-season swell, boat trips to uncrowded reefs beyond Cloud 9, palm-island charm, very affordable. Swell windows less locked-in than Indo; typhoon risk is real."
57,Tamarindo + Playa Grande,Costa Rica,Central America,Dec–Apr,69.4,C,51,59,8.5,3,6,9,5.5,7.5,7.5,8,8,Nonstop BOS→LIR ~5.5h + 1h drive,"Easiest CR logistics, very learner-friendly, boat trips to Witch's Rock. Heavily touristed — the crowd score pays for the convenience."
58,Lakey Peak (Sumbawa),Indonesia,Indo-Pacific,May–Sep,68.9,C,53,61,9,5.5,8.5,5.5,9,7,6.5,5.5,2,BOS→BMU via DPS + 2h drive,A-frame perfection with a pool-bar audience at Lakey's losmen row. More surf-trip than family-trip; long haul.
59,Arugam Bay,Sri Lanka,Indian Ocean,May–Sep,68.6,C,58,63,8.5,4.5,7.5,7.5,7.5,7.5,7.5,6.5,2.5,BOS→CMB + 6h drive,"Long sand-bottom right points (Main Point, Whiskey, Peanut Farm) with tuk-tuk guide culture. The far side of a long journey."
60,Ayampe + Montañita,Ecuador,South America,Dec–Apr,68.3,C,57,62,7.5,7,6.5,8,6.5,6,6.5,6.5,5.5,BOS→UIO/GYE + 3h drive,"Warm N-swell season, mellow Ayampe beach break with a quiet yoga-town vibe (skip Montañita's party for the family). Cheap and uncrowded."
61,Los Cerritos / Todos Santos (Baja),Mexico,Mexico,Nov–Mar,68.2,C,58,62,7.5,5,6,8.5,6,7.5,6.5,7.5,7,One-stop to SJD + 1h drive,"Winter NW swell, learner-friendly Cerritos, artsy Todos Santos base. Water is cool (springsuit) and the surf is fun rather than world-class."
62,Costa Azul (San José del Cabo),Mexico,Mexico,May–Oct,68.2,C,58,63,7.5,4,6.5,7.5,6.5,7.5,7,8.5,7.5,Nonstop BOS→SJD seasonal ~6.5h,"Resort-corridor convenience with a real summer wave (The Rock, Old Man's for learners). Easy, warm, but lineups concentrate."
63,Bocas del Toro,Panama,Central America,Dec–Mar,67.5,C,60,64,6,6.5,7.5,6.5,7.5,7,7.5,7.5,5.5,BOS→PTY + domestic hop,"Caribbean N-swell window — reef and beach options by boat, island-hopping fun. Swell-dependent: flat spells happen."
64,Florianópolis,Brazil,South America,Apr–Sep,66.7,C,63,65,8,4.5,7.5,7.5,7.5,6,6,7.5,4,BOS→GRU→FLN ~15h,42 beaches on one island — always a working bank somewhere. Autumn/winter is consistent and less crowded; water cools to springsuit.
65,Muizenberg (Cape Town),South Africa,Africa,Nov–Mar,66.3,C,64,66,8,4,5.5,9.5,7,6,7.5,8,3,BOS→CPT ~20h,"Surfers' Corner is a legendary learn-to-surf beach, and Cape Town is a spectacular family city. Busy lineups, cool water, shark protocol managed by spotters."
66,Scorpion Bay (San Juanico),Mexico,Mexico,Jun–Sep,66.1,C,64,67,5.5,8.5,9,6.5,8,7,5,4.5,3.5,Fly to Loreto + 4-5h washboard drive,"On a real S-swell: multiple points connecting into minute-long rights, nearly empty. But it needs the swell and getting there is an expedition. Score is honest about the gamble."
67,Noosa,Australia,Indo-Pacific,Jan–Mar,65.0,C,66,69,6.5,2,8,9,6,9.5,7,9,2,BOS→BNE ~24h + 1.5h drive,"Perfect sandy points wrapping through a national park — when cyclone swell arrives, and with 200 longboarders. A glorious family beach town whose surf score is hostage to swell roulette and crowds."
68,Itacaré (Bahia),Brazil,South America,Dec–Mar,64.3,C,67,69,7,6.5,6,8,5.5,6,6.5,7,4,BOS→GRU→IOS + 1h drive,Warm jungle-backed coves with reliable small-to-mid surf — a lovely learn-and-longboard family spot rather than a quality strike.
69,Pavones,Costa Rica,Central America,Jun–Aug,64.2,C,67,69,6.5,5,9,5,8.5,7.5,5.5,5.5,4.5,BOS→SJO + puddle-jumper + drive,One of the world's longest lefts when a proper S-swell lands — but it needs that swell. Boom-or-bust; remote; limited family lodging.
